"ID" "Sex" "BleedTime" "Age" "Weight" "rawDOB" "timeDOB" "normBleed" "residNormBleed"
"227" 21656 "M" 2.5 144 26 "2017-06-02" 77 0.517891453898414 0.623659077793112
"228" 21654 "M" 2 151 22 "2017-05-26" 76 0.10436893498713 0.189970611270721
"229" 21650 "M" 2.5 153 22 "2017-05-24" 76 0.517891453898414 0.603420414801817
"230" 21658 "M" 2 144 20 "2017-06-02" 77 0.10436893498713 0.210136558881828
"231" 21665 "M" 1 144 20 "2017-06-02" 77 -1.20237274604628 -1.09660512215158
"232" 21659 "M" 3 146 19 "2017-05-31" 76 0.758147443144371 0.843930907878433
"233" 21667 "M" 3.5 144 20 "2017-06-02" 77 0.954065718000542 1.05983334189524
"234" 21662 "M" 2 146 18 "2017-05-31" 76 0.10436893498713 0.190152399721192
"235" 21666 "M" 3 144 23 "2017-06-02" 77 0.758147443144371 0.863915067039069
"236" 21723 "M" 5 130 24 "2017-06-16" 77 1.24921375660039 1.3554903881564
"237" 21679 "M" 3 146 26 "2017-05-31" 76 0.758147443144371 0.843930907878433
"238" 21683 "M" 2 147 21 "2017-05-30" 76 0.10436893498713 0.190116042031097
"239" 21721 "M" 2 130 21 "2017-06-16" 77 0.10436893498713 0.210645566543145
"240" 21722 "M" 3.5 130 19 "2017-06-16" 77 0.954065718000542 1.06034234955656
"241" 21675 "M" 2 146 24 "2017-05-31" 76 0.10436893498713 0.190152399721192
"242" 21676 "M" 1.5 146 21 "2017-05-31" 76 -0.446949062026105 -0.361165597292044
"243" 21669 "M" 1 146 14 "2017-05-31" 76 -1.20237274604628 -1.11658928131222
"244" 21670 "M" 2 146 17 "2017-05-31" 76 0.10436893498713 0.190152399721192
"245" 21673 "M" 1.5 141 23 "2017-06-05" 77 -0.446949062026105 -0.341072365061125
"246" 21668 "M" 2 144 22 "2017-06-02" 77 0.10436893498713 0.210136558881828
"247" 21692 "M" 2 137 20 "2017-06-09" 77 0.10436893498713 0.210391062712486
"248" 21694 "M" 1 136 17 "2017-06-10" 77 -1.20237274604628 -1.09631426063083
"249" 21687 "M" 1 138 19 "2017-06-08" 77 -1.20237274604628 -1.09638697601101
"250" 21693 "M" 1.5 136 21 "2017-06-10" 77 -0.446949062026105 -0.340890576610655
"251" 21689 "M" 2 137 21 "2017-06-09" 77 0.10436893498713 0.210391062712486
"252" 21691 "M" 1 137 23 "2017-06-09" 77 -1.20237274604628 -1.09635061832092
"253" 21695 "M" 1 136 27 "2017-06-10" 77 -1.20237274604628 -1.09631426063083
"254" 21697 "M" 8 135 27 "2017-06-11" 77 1.69182103958333 1.79791588268887
"255" 21702 "M" 8 140 20 "2017-06-06" 77 1.69182103958333 1.7977340942384
"256" 21705 "M" 6.5 134 27 "2017-06-12" 77 1.44444226340959 1.55057346420523
"257" 21698 "M" 3.5 140 20 "2017-06-06" 77 0.954065718000542 1.05997877265562
"258" 21701 "M" 2 140 20 "2017-06-06" 77 0.10436893498713 0.210281989642204
"259" 21706 "M" 8 135 30 "2017-06-12" 77 1.69182103958333 1.79791588268887
"260" 21712 "M" 2.5 136 19 "2017-06-11" 77 0.517891453898414 0.623949939313865
"261" 21709 "M" 3 139 25 "2017-06-08" 77 0.758147443144371 0.864096855489539
"262" 21711 "M" 2.5 139 25 "2017-06-08" 77 0.517891453898414 0.623840866243582
"263" 21713 "M" 2.5 136 21 "2017-06-11" 77 0.517891453898414 0.623949939313865
"264" 21707 "M" 1 139 25 "2017-06-08" 77 -1.20237274604628 -1.09642333370111
"265" 21733 "M" 4 131 29 "2017-06-16" 77 1.08690660805893 1.19314688192485
"266" 21739 "M" 1.5 128 21 "2017-06-19" 77 -0.446949062026105 -0.340599715089902
"267" 21745 "M" 2.5 132 22 "2017-06-15" 77 0.517891453898414 0.624095370074241
"268" 21737 "M" 3 128 20 "2017-06-19" 77 0.758147443144371 0.864496790080574
"269" 21744 "M" 1 132 22 "2017-06-15" 77 -1.20237274604628 -1.09616882987045
"270" 21735 "M" 1.5 131 26 "2017-06-16" 77 -0.446949062026105 -0.340708788160184
"271" 21753 "M" 1 128 23 "2017-06-19" 77 -1.20237274604628 -1.09602339911007
"272" 21748 "M" 1.5 132 18 "2017-06-15" 77 -0.446949062026105 -0.340745145850278
"273" 21754 "M" 2.5 128 24 "2017-06-19" 77 0.517891453898414 0.624240800834618
"274" 21747 "M" 8 132 20 "2017-06-15" 77 1.69182103958333 1.79802495575916
"275" 21749 "M" 1 128 26 "2017-06-19" 77 -1.20237274604628 -1.09602339911007
"276" 21746 "M" 1 132 25 "2017-06-15" 77 -1.20237274604628 -1.09616882987045
"277" 21634 "F" 1.5 156 16 "2017-05-22" 76 -0.446949062026105 -0.192908157135939
"278" 21629 "F" 2 156 19 "2017-05-22" 76 0.10436893498713 0.358409839877296
"279" 21631 "F" 2 159 16 "2017-05-19" 76 0.10436893498713 0.358300766807014
"280" 21635 "F" 2 156 15 "2017-05-22" 76 0.10436893498713 0.358409839877296
"281" 21630 "F" 1 159 16 "2017-05-19" 76 -1.20237274604628 -0.948440914226394
"282" 21636 "F" 4 156 16 "2017-05-22" 76 1.08690660805893 1.34094751294909
"283" 21738 "F" 1 128 17 "2017-06-19" 77 -1.20237274604628 -0.927402382053029
"284" 21750 "F" 1 128 24 "2017-06-19" 77 -1.20237274604628 -0.927402382053029
"285" 21742 "F" 1 134 23 "2017-06-13" 77 -1.20237274604628 -0.927620528193593
"286" 21743 "F" 2 134 29 "2017-06-13" 77 0.10436893498713 0.379121152839814
"287" 21741 "F" 1.5 134 25 "2017-06-13" 77 -0.446949062026105 -0.172196844173421
"288" 21740 "F" 2 128 17 "2017-06-19" 77 0.10436893498713 0.379339298980379
"289" 21663 "F" 1 147 19 "2017-05-31" 76 -1.20237274604628 -0.948004621945265
"290" 21671 "F" 1 147 20 "2017-05-31" 76 -1.20237274604628 -0.948004621945265
"291" 21653 "F" 2 152 21 "2017-05-26" 76 0.10436893498713 0.358555270637672
"292" 21660 "F" 1 147 17 "2017-05-31" 76 -1.20237274604628 -0.948004621945265
"293" 21661 "F" 1.5 147 16 "2017-05-31" 76 -0.446949062026105 -0.192580937925093
"294" 21664 "F" 1 147 17 "2017-05-31" 76 -1.20237274604628 -0.948004621945265
"295" 21672 "F" 8 142 20 "2017-06-05" 77 1.69182103958333 1.96628239591526
